'y-axis saved as y
'x,216-1hr_Gd-Ru-Ge.xy,Ycalc,Diff
11.71928,879,866.868001,12.1319987
11.72958,833,866.109775,-33.1097752
11.73989,815,865.352666,-50.3526657
11.7502,840,864.59742,-24.5974198
11.76051,841,863.844048,-22.8440475
11.77082,822,863.092559,-41.092559
11.78112,824,862.343691,-38.3436906
11.79143,853,861.595999,-8.59599871
11.80174,827,860.850222,-33.850222
11.81205,851,860.106372,-9.10637152
11.82236,798,859.364458,-61.3644583
11.83266,813,858.625211,-45.6252105
11.84297,917,857.887204,59.1127959
11.85328,855,857.15117,-2.1511697
11.86359,863,856.417119,6.58288077
11.87389,874,855.685774,18.3142258
11.8842,845,854.955727,-9.95572667
11.89451,896,854.227701,41.7722994
11.90482,850,853.501709,-3.50170909
11.91513,854,852.777765,1.22223469
11.92543,886,852.056582,33.9434178
11.93574,826,851.336773,-25.336773
11.94605,819,850.619053,-31.6190531
11.95636,870,849.903437,20.0965628
11.96667,844,849.18994,-5.18993987
11.97697,857,848.479265,8.52073451
11.98728,864,847.770049,16.2299507
11.99759,895,847.062998,47.9370016
12.0079,820,846.358129,-26.358129
12.01821,845,845.655458,-0.655457876
12.02851,861,844.955681,16.0443194
12.03882,914,844.257456,69.7425443
12.04913,833,843.561482,-10.5614818
12.05944,873,842.867778,30.1322224
12.06974,874,842.177032,31.8229682
12.08005,876,841.487923,34.5120774
12.09036,874,840.801142,33.1988578
12.10067,856,840.116711,15.8832886
12.11098,820,839.434652,-19.4346519
12.12128,841,838.755644,2.24435582
12.13159,818,838.078392,-20.0783924
12.1419,871,837.403581,33.596419
12.15221,872,836.731235,35.2687655
12.16252,856,836.061378,19.9386216
12.17282,824,835.394685,-11.3946851
12.18313,874,834.729887,39.270113
12.19344,870,834.067661,35.932339
12.20375,897,833.408036,63.5919639
12.21406,840,832.751042,7.24895758
12.22436,803,832.097345,-29.0973448
12.23467,919,831.445706,87.5542944
12.24498,826,830.796794,-4.79679419
12.25529,840,830.150645,9.849355
12.2656,808,829.507293,-21.5072933
12.2759,913,828.867396,84.1326043
12.28621,801,828.229747,-27.2297467
12.29652,868,827.595008,40.4049923
12.30683,847,826.963218,20.0367817
12.31713,793,826.335027,-33.3350275
12.32744,871,825.709257,45.2907434
12.33775,868,825.08656,42.9134403
12.34806,859,824.46698,34.5330201
12.35837,922,823.850561,98.1494388
12.36867,877,823.237942,53.7620581
12.37898,808,822.627977,-14.6279774
12.38929,848,822.02131,25.9786897
12.3996,874,821.417987,52.5820128
12.40991,931,820.818055,110.181945
12.42021,868,820.222139,47.7778612
12.43052,836,819.629128,16.3708716
12.44083,829,819.039652,9.96034753
12.45114,860,818.453759,41.5462406
12.46145,840,817.871498,22.1285022
12.47175,853,817.293476,35.7065241
12.48206,824,816.71862,7.28138022
12.49237,860,816.147542,43.8524584
12.50268,850,815.58029,34.4197095
12.51298,893,815.017461,77.9825394
12.52329,835,814.458008,20.541992
12.5336,882,813.902531,68.0974688
12.54391,819,813.35108,5.64891969
12.55422,814,812.803706,1.19629402
12.56452,839,812.260985,26.7390154
12.57483,852,811.721914,40.2780863
12.58514,909,811.187075,97.8129248
12.59545,832,810.656523,21.3434772
12.60576,857,810.130311,46.8696887
12.61606,795,809.609001,-14.6090011
12.62637,845,809.091637,35.9083632
12.63668,802,808.578786,-6.57878603
12.64699,872,808.07051,63.9294902
12.6573,846,807.566871,38.4331292
12.6676,853,807.068416,45.9315839
12.67791,876,806.574244,69.4257559
